Num,selec,COSMO_name,Database_label,Charge,Conformers,Conformers_,CAS_Number,MW,Formula,SMILES,BP,MP,Synonyma,Unique_code,UnknownNumber,Database_label_
888,true,n-undecane,COSMO-TZVPD-FINE,0,5,5,1120-21-4,156.31,C11H24,CCCCCCCCCCC,195.9,-25.6,nundecane|COSMObaseFF|n-undecane|nundecane|Undecane|SOLVENT|Hendecane|156.31|nundecane|1120214|CCCCCCCCCCC|,UKFDH2LXNYNN,3,COSMO-TZVPD-FINE
688,true,hexane,COSMO-TZVPD-FINE,0,1,1,110-54-3,86.18,C6H14,CCCCCC,68.7,-95.3,COSMObaseFF|n-Hexane|nHexane|hexane|eafus|SOLVENT|86.18|hexane|110543|CCCCCC|,WGSFAOPL5JNN,3,COSMO-TZVPD-FINE
1564,true,n-heptane,COSMO-TZVPD-FINE,0,1,1,142-82-5,100.2,C7H16,CCCCCCC,98.5,-90.6,nheptane|COSMObaseFF|n-heptane|nheptane|heptane|SOLVENT|100.2|nheptane|142825|CCCCCCC|,YIV5UWU3IMNN,3,COSMO-TZVPD-FINE
1253,true,n-decane,COSMO-TZVPD-FINE,0,5,5,124-18-5,142.28,C10H22,CCCCCCCCCC,174.1,-29.7,ndecane|COSMObaseFF|n-decane|ndecane|decane|SOLVENT|142.28|ndecane|124185|CCCCCCCCCC|,UJ3D9HL8MVNN,3,COSMO-TZVPD-FINE
857,true,dodecane,COSMO-TZVPD-FINE,0,4,4,112-40-3,170.34,C12H26,CCCCCCCCCCCC,216.3,-9.6,COSMObaseFF|dodecane|SOLVENT|Dihexyl|Bihexyl|170.34|dodecane|112403|CCCCCCCCCCCC|,MQV20O2OP2NN,3,COSMO-TZVPD-FINE
767,true,octane,COSMO-TZVPD-FINE,0,2,2,111-65-9,114.23,C8H18,CCCCCCCC,125.6,-56.8,COSMObaseFF|octane|n-Octane|nOctane|SOLVENT|114.23|octane|111659|CCCCCCCC|,MR4RK37QJPNN,3,COSMO-TZVPD-FINE
781,true,n-nonane,COSMO-TZVPD-FINE,0,6,6,111-84-2,128.26,C9H20,CCCCCCCCC,150.8,-53.5,nnonane|COSMObaseFF|nonane|n-nonane|nnonane|SOLVENT|128.26|nnonane|111842|CCCCCCCCC|,QZ9DDI5GKSNN,3,COSMO-TZVPD-FINE
5329,true,3-heptanol,COSMO-TZVPD-FINE,0,8,8,589-82-2,116.2,C7H16O,CCCCC(O)CC,NaN,NaN,3heptanol|COSMObaseFF|heptan-3-ol|heptan3ol|eafus|DL-3-Heptanol|DL3Heptanol|3-heptanol|3heptanol|3-Hydroxyheptane|3Hydroxyheptane|116.2|1-ethylpentan-1-ol|1ethylpentan1ol|1-Ethyl-1-pentanol|1Ethyl1pentanol|3heptanol|589822|CCCCCOCC,UK0NNM4ZLVNS,3,COSMO-TZVPD-FINE
867,true,dodecanol,COSMO-TZVPD-FINE,0,3,3,112-53-8,186.34,C12H26O,OCCCCCCCCCCCC,259.0,24.0,COSMObaseFF|eafus|dodecanol0|dodecanol|dodecan-1-ol|dodecan1ol|SOLVENT|Laurylalcohol|Dodecylalcohol|186.34|1-dodecanol|1dodecanol|27342-88-7|27342887|dodecanol|112538|OCCCCCCCCCCCC,OI35OARNR5NN,3,COSMO-TZVPD-FINE
848,true,1-decanol,COSMO-TZVPD-FINE,0,3,3,112-30-1,158.28,C10H22O,OCCCCCCCCCC,231.1,6.9,1decanol|COSMObaseFF|eafus|decan-1-ol|decan1ol|SOLVENT|Decylalcohol|Caprinicalcohol|158.28|1-decanol0|1decanol0|1-decanol|1decanol|1decanol|112301|OCCCCCCCCCC,VUBZA1D7NYNN,3,COSMO-TZVPD-FINE
1241,true,2-octanol,COSMO-TZVPD-FINE,0,7,7,123-96-6,130.23,C8H18O,CCCCCCC(O)C,178.5,-38.49999999999997,2octanol|octan-2-ol|octan2ol|130.23|eafus|Octan-2-ol|Octan2ol|Hexylmethylcarbinol|2-octanol0|2octanol0|Caprylalcohol|2-Hydroxy-n-octane|2Hydroxynoctane|1-methylheptan-1-ol|1methylheptan1ol|COSMObaseFF|2-octanol|2octanol|1-Methyl-1-heptanol|1Methyl1heptanol|2octanol|123966|CCCCCCCOC,ZTJFW8IRMWNS,3,COSMO-TZVPD-FINE
5939,true,3-hexanol,COSMO-TZVPD-FINE,0,7,7,623-37-0,102.18,C6H14O,CCCC(O)CC,134.75,NaN,3hexanol|eafus|Hexan-3-ol|Hexan3ol|Beilstein=4-01-00-01711|Beilstein4010001711|hexan-3-ol|hexan3ol|3-hexanol|3hexanol|UN(DOT)=2282|UNDOT2282|102.18|EC=210-790-0|EC2107900|3hexanol|623370|CCCCOCC,TLLIV0LAJSNR,3,COSMO-TZVPD-FINE
